GU Position,UAV Position,State,UAV Connections,GU Capacity
"((48.95404745552429, 128.6505385435679, 0.0), (133.60593043463533, 15.598488531400527, 0.0), (26.77673793209716, 19.189928808312178, 0.0), (103.88920875179645, 85.36329321402253, 0.0), (16.769193152372722, 69.15378598891527, 0.0), (176.5406057828512, 44.459585770374, 0.0), (29.690402386789415, 49.61123972553908, 0.0), (73.2773683408663, 11.686442143253231, 0.0), (58.499197417612805, 3.8989327226532633, 0.0), (49.390110698749105, 30.853513047826958, 0.0), (7.907063528655186, 41.02365549636212, 0.0))","((130, 20, 50), (15, 30, 50), (20, 15, 50), (100, 45, 50), (90, 40, 50))",010011100111111010111,"{0: [4], 1: [0], 2: [2], 3: [3], 4: [1], 5: [0], 6: [1], 7: [4], 8: [2], 9: [2], 10: [1]}","{0: 4007409804.2983284, 1: 6029011771.391974, 2: 4593343017.700678, 3: 4593343017.700678, 4: 4593343017.700678, 5: 5149972990.057003, 6: 4593343017.700678, 7: 4593343017.700678, 8: 4593343017.700678, 9: 4593343017.700678, 10: 4593343017.700678}"
"((59.84799503846618, 139.09928144958283, 0.0), (138.54813676544958, 15.11998982952693, 0.0), (27.567294872608894, 18.12034501622681, 0.0), (103.6404394369362, 70.91777403739376, 0.0), (10.831397989924623, 66.41343538536967, 0.0), (178.96630979141676, 64.81442287342233, 0.0), (11.161466545613148, 58.67326513382243, 0.0), (76.85434502335353, 10.960876782235566, 0.0), (57.61484897385692, 1.9905048779863663, 0.0), (63.03283106302129, 12.519009563756828, 0.0), (27.252470563405932, 38.0652355341494, 0.0))","((130, 20, 50), (15, 40, 50), (15, 45, 50), (85, 0, 50), (85, 10, 50))",100011111110011011110,"{0: [2], 1: [0], 2: [1], 3: [0], 4: [2], 5: [0], 6: [2], 7: [4], 8: [3], 9: [4], 10: [1]}","{0: 3866933210.478382, 1: 6029011771.391974, 2: 4367201695.11616, 3: 5017319960.080336, 4: 4367201695.11616, 5: 4770974017.574273, 6: 4367201695.11616, 7: 4367201695.11616, 8: 4367201695.11616, 9: 4367201695.11616, 10: 4367201695.11616}"
"((51.48288668896831, 130.01693412711228, 0.0), (146.17381834416997, 42.425373004704625, 0.0), (33.8151854512485, 42.84528231600734, 0.0), (104.91491172412914, 72.36196946478339, 0.0), (22.299543813729613, 80.68167373590859, 0.0), (183.59998549242175, 62.4447537017232, 0.0), (5.116699992902676, 50.6251385030363, 0.0), (64.26001175162968, 19.987453736417137, 0.0), (32.76269882044578, 2.435426628488637, 0.0), (63.01460179790537, 14.343236773408954, 0.0), (21.44099084190428, 10.021511419362795, 0.0), (14.34857243595479, 11.487933888399128, 0.0), (12.832635111559673, 25.132860042747577, 0.0))","((25, 40, 50), (80, 15, 50), (125, 25, 50), (20, 20, 50), (10, 45, 50))",001111010011001111110,"{0: [0], 1: [2], 2: [0], 3: [2], 4: [4], 5: [2], 6: [4], 7: [1], 8: [3], 9: [1], 10: [3], 11: [3], 12: [3]}","{0: 3848570466.0620465, 1: 3848570466.0620465, 2: 3848570466.0620465, 3: 3848570466.0620465, 4: 3848570466.0620465, 5: 3848570466.0620465, 6: 3848570466.0620465, 7: 3848570466.0620465, 8: 3848570466.0620465, 9: 3848570466.0620465, 10: 3848570466.0620465, 11: 3848570466.0620465, 12: 3848570466.0620465}"
"((37.362651129928814, 136.9286231770052, 0.0), (142.90006337744745, 18.12871459979572, 0.0), (28.753733783278836, 65.57964358255902, 0.0), (89.88958000023729, 94.796975341828, 0.0), (21.460130355369003, 79.62394752438382, 0.0), (184.42078909423, 80.64854818188675, 0.0), (5.449044667302894, 43.35990186060469, 0.0), (43.13074711632349, 14.142450199175542, 0.0), (55.70656198775866, 13.494101167187422, 0.0), (79.95256132888188, 29.733893228533386, 0.0), (10.564626163217133, 6.009500528481083, 0.0), (18.141386691220717, 7.036433023046033, 0.0), (24.664402380368493, 18.800245194572547, 0.0), (21.681508971704577, 4.877363470416944, 0.0), (14.958654746515943, 21.456759862998464, 0.0))","((170, 115, 50), (65, 125, 50), (135, 10, 50), (80, 15, 55), (80, 30, 55))",100011000011111111111,"{0: [1], 1: [2], 2: [1], 3: [1], 4: [1], 5: [0], 6: [4], 7: [3], 8: [3], 9: [4], 10: [3], 11: [3], 12: [3], 13: [3], 14: [3]}","{0: 5763673002.855438, 1: 6131492359.958156, 2: 4685504423.013843, 3: 5525275927.72358, 4: 4865022161.263764, 5: 4115022672.3526673, 6: 4441807042.822503, 7: 5406809908.849253, 8: 5678478116.689806, 9: 5908630066.652522, 10: 4579829320.420895, 11: 4769189203.733223, 12: 4943504936.943284, 13: 4849184923.756883, 14: 4694503318.643331}"
"((41.30859028408306, 113.50084715663239, 0.0), (134.48500958008438, 6.977948960510114, 0.0), (17.980580671634538, 76.03842387510247, 0.0), (78.54724693782055, 92.76116235009026, 0.0), (8.962585761909958, 91.79667889864876, 0.0), (161.45436757942878, 67.68898764485414, 0.0), (7.201151615653891, 41.42876930116698, 0.0), (24.952855650724644, 27.89063960694496, 0.0), (78.27939086477475, 33.04221185048895, 0.0), (92.89875132366973, 6.023214880155816, 0.0), (4.081322287038352, 9.459035940975056, 0.0), (27.842416151552737, 10.151013106849941, 0.0), (44.606596468295066, 32.812700837790445, 0.0))","((15, 45, 50), (105, 20, 50), (130, 20, 50), (25, 30, 50), (5, 10, 50))",100011111110011010110,"{0: [0], 1: [2], 2: [0], 3: [1], 4: [0], 5: [2], 6: [0], 7: [3], 8: [1], 9: [1], 10: [4], 11: [3], 12: [3]}","{0: 4447526813.115189, 1: 6029011771.391974, 2: 4447526813.115189, 3: 4484496756.920387, 4: 4447526813.115189, 5: 5023088981.317231, 6: 4447526813.115189, 7: 4855281262.790721, 8: 5772860433.083756, 9: 6020593623.25635, 10: 4246781228.6863484, 11: 4855281262.790721, 12: 4855281262.790721}"
"((37.66465598052991, 118.20779767477808, 0.0), (132.07254102126734, 2.6177230819877275, 0.0), (35.207323129196936, 66.68381414143579, 0.0), (73.56083178272617, 80.52105644133145, 0.0), (10.60650619368932, 91.46391842469971, 0.0), (157.23281058010008, 74.03468468556692, 0.0), (3.782907178704464, 42.23769338483666, 0.0), (27.204996321208704, 27.187234819452932, 0.0), (72.42895869904352, 26.18351282502788, 0.0), (105.59005459532789, 22.09483482792543, 0.0), (6.398170658055825, 31.075262048776747, 0.0))","((25, 35, 50), (5, 35, 50), (10, 45, 50), (135, 20, 55), (80, 30, 50))",001011010111011111110,"{0: [2], 1: [3], 2: [2], 3: [4], 4: [2], 5: [3], 6: [2], 7: [0], 8: [4], 9: [4], 10: [1]}","{0: 3828909131.659402, 1: 5793255819.023293, 2: 3828909131.659402, 3: 5196144553.587456, 4: 3828909131.659402, 5: 4868406773.183161, 6: 3828909131.659402, 7: 3973455765.0525894, 8: 5874450284.334438, 9: 5844458214.127517, 10: 3588042997.99443}"
"((23.554537321275433, 130.29738589177362, 0.0), (130.89063758826092, 0.5489497414580176, 0.0), (12.546216813385655, 56.02440771632838, 0.0), (68.18374891608553, 93.16806013507065, 0.0), (13.393378084184002, 83.46024683039357, 0.0), (166.3036045003365, 61.88940985148284, 0.0), (18.4175320119556, 24.086568702703026, 0.0), (29.758248042662444, 29.44418552706225, 0.0), (66.22347386735251, 25.552268022131255, 0.0))","((95, 0, 50), (5, 45, 50), (0, 45, 50), (10, 45, 50), (15, 45, 55))",001001010111011111111,"{0: [3], 1: [0], 2: [3], 3: [0], 4: [3], 5: [0], 6: [3], 7: [3], 8: [0]}","{0: 3858517860.7663984, 1: 3858517860.7663984, 2: 3858517860.7663984, 3: 3858517860.7663984, 4: 3858517860.7663984, 5: 3858517860.7663984, 6: 3858517860.7663984, 7: 3858517860.7663984, 8: 3858517860.7663984}"
"((20.663226287448378, 110.52139225527654, 0.0), (122.58504610391765, 0.612377243339583, 0.0), (9.283777383258368, 73.3172722910529, 0.0), (70.40115786116553, 91.90833546579776, 0.0), (17.774944434588154, 111.24523142875977, 0.0), (188.5860155762375, 57.56543964703448, 0.0), (33.53141562824257, 35.132885572868304, 0.0), (14.56728624121812, 41.563284884136735, 0.0))","((190, 125, 50), (10, 120, 50), (45, 120, 50), (30, 10, 55), (185, 125, 50))",010010100011101010110,"{0: [1], 1: [3], 2: [1], 3: [2], 4: [1], 5: [0], 6: [3], 7: [3]}","{0: 6091458311.8253355, 1: 3973455765.0525894, 2: 5315252054.055211, 3: 5559783439.886153, 4: 6126842411.106806, 5: 3848570466.0620465, 6: 3973455765.0525894, 7: 3973455765.0525894}"
"((13.906260656534183, 117.28671223702277, 0.0), (122.4186186378989, 2.2167224551155305, 0.0), (8.40547284732547, 93.4636770627834, 0.0), (56.33630044484717, 83.47466235367779, 0.0), (8.472130094184863, 108.58262273249785, 0.0), (184.37198215649457, 54.27149964632697, 0.0), (29.012620566299717, 14.949707757110414, 0.0), (7.242262116869191, 23.967522540628437, 0.0), (5.212189393414017, 7.180035052134067, 0.0), (0.03424828315478044, 4.5329922880139835, 0.0))","((130, 30, 55), (105, 190, 50), (15, 40, 50), (0, 15, 50), (10, 30, 50))",010001100101111111111,"{0: [2], 1: [0], 2: [2], 3: [1], 4: [2], 5: [0], 6: [4], 7: [4], 8: [3], 9: [3]}","{0: 3771713254.956472, 1: 3771713254.956472, 2: 3771713254.956472, 3: 2794144597.901056, 4: 3771713254.956472, 5: 3771713254.956472, 6: 3771713254.956472, 7: 3771713254.956472, 8: 3771713254.956472, 9: 3771713254.956472}"
"((9.11701043914346, 131.71522187643419, 0.0), (110.71710089615384, 10.325530094133144, 0.0), (35.343856369906206, 99.8064996100573, 0.0), (62.60704510562289, 97.32869733948945, 0.0), (2.572281632560858, 126.11901084921328, 0.0), (178.4449786736256, 61.004389892158166, 0.0), (25.795311662574843, 14.711937552510316, 0.0), (3.828774761208892, 17.90775918000004, 0.0))","((100, 195, 55), (10, 25, 50), (5, 45, 50), (125, 25, 50), (125, 10, 50))",100010111110011011110,"{0: [2], 1: [4], 2: [2], 3: [3], 4: [2], 5: [3], 6: [1], 7: [1]}","{0: 3881191535.5879955, 1: 5830142872.979926, 2: 3881191535.5879955, 3: 4055413576.089928, 4: 3881191535.5879955, 5: 4822955214.925459, 6: 3881191535.5879955, 7: 3881191535.5879955}"
"((37.19385114831239, 134.64186148096852, 0.0), (111.91366384654879, 16.925399662416833, 0.0), (44.03778847461862, 113.00157682655247, 0.0), (81.9492917099127, 116.79591799716869, 0.0), (8.184362234862697, 126.92396382611996, 0.0), (172.56044580679526, 50.90930494386412, 0.0))","((130, 20, 50), (105, 180, 55), (15, 45, 55), (5, 45, 50), (15, 45, 50))",001011010111011111110,"{0: [4], 1: [0], 2: [4], 3: [1], 4: [3], 5: [0]}","{0: 3876117513.087325, 1: 6023206293.79732, 2: 3876117513.087325, 3: 4647073073.822285, 4: 3876117513.087325, 5: 5149313345.213672}"
"((23.994787538705772, 128.50043688451365, 0.0), (120.67543537484553, 15.11712807888825, 0.0), (47.78712299980133, 111.22526893782201, 0.0), (66.75842561460647, 95.28563353021997, 0.0), (6.617924586576353, 152.2105958077897, 0.0), (167.93855671120474, 32.768991813774385, 0.0), (11.432677261100752, 9.238469148160073, 0.0), (19.43872442888454, 5.027313139736398, 0.0))","((125, 145, 55), (85, 10, 50), (95, 50, 55), (120, 15, 50), (130, 20, 50))",000110001110111111111,"{0: [0], 1: [3], 2: [2], 3: [2], 4: [0], 5: [4], 6: [1], 7: [1]}","{0: 3654018762.9527035, 1: 6029011771.391974, 2: 4404444052.327372, 3: 4996718286.464888, 4: 3539539500.3843718, 5: 5500756589.402032, 6: 4582337484.616411, 7: 4787787643.717517}"
"((6.957938860538896, 142.98078353181467, 0.0), (111.20529142989427, 20.925344595971243, 0.0), (63.67328061775024, 93.84560191145934, 0.0), (68.3801344795213, 87.81144557616594, 0.0), (5.33356900490907, 160.2493689832416, 0.0), (167.72564803838026, 37.635933511599774, 0.0))","((140, 105, 50), (120, 40, 55), (120, 25, 55), (105, 180, 50), (110, 170, 50))",100011111110011011111,"{0: [3], 1: [2], 2: [1], 3: [0], 4: [3], 5: [1]}","{0: 3855259559.9797907, 1: 5459218865.9998045, 2: 4390100183.620122, 3: 4580221514.79686, 4: 3922695285.2274356, 5: 5138297244.756362}"
"((7.331239499133242, 129.21041564360357, 0.0), (99.03791242655407, 5.771463049053466, 0.0), (67.15811273961496, 95.59180185898988, 0.0), (69.6707834218985, 102.09394743155099, 0.0), (16.44185143751879, 163.33545961411193, 0.0), (167.5748709742983, 34.94986772915027, 0.0), (26.43512506805635, 3.2568530018842607, 0.0))","((130, 120, 55), (95, 25, 50), (100, 5, 50), (75, 55, 50), (80, 55, 50))",100011111110011011110,"{0: [0], 1: [2], 2: [3], 3: [3], 4: [0], 5: [1], 6: [1]}","{0: 3459958971.0858517, 1: 4823516365.600153, 2: 4823516365.600153, 3: 4823516365.600153, 4: 3486177520.085507, 5: 4590507644.802459, 6: 4624733212.325805}"
"((16.206384935622225, 133.26988908004546, 0.0), (92.24586776708351, 9.128805579718131, 0.0), (66.10372134942018, 88.58380338168128, 0.0), (61.0960201073018, 92.60617049722303, 0.0), (24.192069132520825, 157.6165531266754, 0.0), (172.04931605484092, 28.696387659006263, 0.0), (6.643765574659511, 22.097703408857992, 0.0), (12.792810635133831, 7.014308780331608, 0.0))","((95, 50, 50), (125, 135, 50), (130, 25, 55), (80, 25, 50), (90, 10, 50))",111111000110011011110,"{0: [1], 1: [4], 2: [0], 3: [0], 4: [1], 5: [2], 6: [3], 7: [3]}","{0: 3772734507.228267, 1: 5885750737.637794, 2: 5272668110.271364, 3: 5097601378.08663, 4: 3886413978.3502684, 5: 5277599742.703032, 6: 4586391897.788421, 7: 4686312561.978576}"
"((11.511712296054476, 115.40173212701285, 0.0), (86.96650447010042, 3.590242450305639, 0.0), (86.76568493778117, 88.46754403936183, 0.0), (49.571879927519035, 97.87783963294797, 0.0), (11.104478182141056, 150.07802294770948, 0.0), (172.6217605750319, 49.14501966600984, 0.0), (17.142881899315967, 32.306782159145456, 0.0), (22.254107151669224, 0.7205451772619327, 0.0))","((185, 80, 50), (125, 135, 50), (110, 45, 55), (80, 20, 55), (100, 0, 50))",000111001110111111111,"{0: [1], 1: [4], 2: [2], 3: [2], 4: [1], 5: [0], 6: [3], 7: [3]}","{0: 3646527763.7476254, 1: 4849934763.76934, 2: 4849934763.76934, 3: 4334572480.42551, 4: 3651941608.955682, 5: 5180759580.590386, 6: 4727133470.3401165, 7: 4806611311.367619}"
"((29.945558835394696, 96.1137634324742, 0.0), (100.26097180544384, 23.125008006311347, 0.0), (79.0995406233819, 82.34575422735345, 0.0), (55.563206267018245, 82.68646450808853, 0.0), (17.312971669161552, 148.7591420861039, 0.0), (175.30921738890916, 35.16979286228544, 0.0), (12.291775741944635, 59.943091529070244, 0.0))","((105, 45, 50), (195, 70, 55), (120, 155, 50), (120, 150, 55), (125, 135, 50))",000101000011111111111,"{0: [4], 1: [0], 2: [0], 3: [2], 4: [3], 5: [1], 6: [3]}","{0: 3899372601.8710995, 1: 4483512983.81022, 2: 4483512983.81022, 3: 4025778878.4796624, 4: 3846475115.0797257, 5: 3045905072.44219, 6: 3168211595.952117}"
